,Ссылка,Название,Цена,Рассрочка,Диагональ экрана,Разрешение экрана,Частота обновления экрана,Тип матрицы,Процессор,Видеокарта,Размер оперативной памяти,Тип жесткого диска,Общий объем накопителей
0,https://kaspi.kz/shop/p/acer-nitro-5-an515-57-nh-qeker-004-chernyi-108194028/?c=710000000,Ноутбук Acer Nitro 5 AN515-57 NH.QEKER.004 черный,439 990 ₸,27 837 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce GTX 1650,16 ГБ,SSD,512 ГБ
1,https://kaspi.kz/shop/p/asus-tuf-gaming-a15-fa506ihrb-hn082-90nr07g7-m008e0-chernyi-105681649/?c=710000000,Ноутбук ASUS TUF Gaming A15 FA506IHRB-HN082 90NR07G7-M008E0 черный,399 990 ₸,25 306 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,16 ГБ,SSD,512 ГБ
2,https://kaspi.kz/shop/p/acer-nitro-5-an515-58-74xd-nh-qfmer-00d-chernyi-106607259/?c=710000000,Ноутбук Acer Nitro 5 AN515-58-74XD NH.QFMER.00D черный,659 857 ₸,41 747 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
3,https://kaspi.kz/shop/p/asus-tuf-fx506hc-hn105-90nr0724-m02760-chernyi-102018884/?c=710000000,Ноутбук ASUS TUF FX506HC-HN105 90NR0724-M02760 черный,499 890 ₸,31 627 ₸,15.6 дюйм,"1920x1080, широкоформатный",144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
4,https://kaspi.kz/shop/p/lenovo-legion-5-17ach6-82k000acrk-temno-sinii-107130212/?c=710000000,Ноутбук Lenovo Legion 5 17ACH6 82K000ACRK темно-синий,624 900 ₸,39 536 ₸,17.3 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
5,https://kaspi.kz/shop/p/asus-vivobook-pro-15-oled-k6500zc-ma359-90nb0xk1-m00mj0-temno-sinii-107424834/?c=710000000,Ноутбук ASUS Vivobook Pro 15 OLED K6500ZC-MA359 90NB0XK1-M00MJ0 темно-синий,549 990 ₸,34 796 ₸,15.6 дюйм,2880x1620,120 Гц,OLED,Intel Core i5 12500H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
6,https://kaspi.kz/shop/p/acer-an515-57-nh-qeler-00c-chernyi-107574471/?c=710000000,Ноутбук Acer AN515-57 NH.QELER.00C черный,489 990 ₸,31 000 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
7,https://kaspi.kz/shop/p/asus-vivobook-pro15-m6500qc-hn118-90nb0yn1-m006n0-sinii-106530982/?c=710000000,Ноутбук ASUS Vivobook Pro15 M6500QC-HN118 90NB0YN1-M006N0 синий,499 990 ₸,31 633 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
8,https://kaspi.kz/shop/p/asus-vivobook-pro15-m6500qc-hn058-90nb0yn1-m004t0-sinii-106531003/?c=710000000,Ноутбук ASUS Vivobook Pro15 M6500QC-HN058 90NB0YN1-M004T0 синий,458 990 ₸,29 039 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
9,https://kaspi.kz/shop/p/hp-victus-16-e0008ur-489h1ea-temno-seryi-107706136/?c=710000000,Ноутбук HP Victus 16-e0008ur 489H1EA темно-серый,569 800 ₸,36 050 ₸,16.1 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
10,https://kaspi.kz/shop/p/asus-tuf-gaming-f17-fx706h-90nr0733-m00720-seryi-101880032/?c=710000000,Ноутбук ASUS TUF Gaming F17 FX706H 90NR0733-M00720 серый,557 568 ₸,35 276 ₸,17.3 дюйм,1920х1080 Full HD,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
11,https://kaspi.kz/shop/p/asus-rog-strix-g15-g513ie-hn004-90nr0582-m01010-chernyi-102527694/?c=710000000,Ноутбук ASUS ROG Strix G15 G513IE-HN004 90NR0582-M01010 черный,594 893 ₸,37 637 ₸,15.6 дюйм,1920х1080 Full HD,144 Гц,IPS,AMD Ryzen 7 4800H,NVIDIA GeForce RTX 3050Ti,16 ГБ,SSD,512 ГБ
12,https://kaspi.kz/shop/p/hp-victus-16-e0051ur-4l678ea-sinii-107222252/?c=710000000,Ноутбук HP Victus 16-e0051ur 4L678EA синий,529 890 ₸,33 525 ₸,16.1 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
13,https://kaspi.kz/shop/p/asus-fx506lhb-hn324-90nr03u2-m007u0-chernyi-107917099/?c=710000000,Ноутбук ASUS FX506LHB-HN324 90NR03U2-M007U0 черный,419 990 ₸,26 572 ₸,15.6 дюйм,1920x1080 Full HD,90 Гц,IPS,Intel Core i5 10300H,NVIDIA GeForce GTX 1650,16 ГБ,SSD,512 ГБ
14,https://kaspi.kz/shop/p/huawei-matebook-d-15-bom-wfq9-53013hst-serebristyi-106763180/?c=710000000,Ноутбук Huawei MateBook D 15 BoM-WFQ9 53013HST серебристый,399 990 ₸,25 306 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 5500U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
15,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-fx506hc-hn006-90nr0723-m02580-seryi-104257611/?c=710000000,Ноутбук ASUS TUF Gaming F15 FX506HC-HN006 90NR0723-M02580 серый,519 990 ₸,32 898 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
16,https://kaspi.kz/shop/p/apple-macbook-pro-16-mk193-seryi-102866164/?c=710000000,Ноутбук Apple MacBook Pro 16 MK193 серый,1 296 559 ₸,82 029 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,IPS,Apple M1 Pro,Apple M1 16-Core,16 ГБ,SSD,1024 ГБ
17,https://kaspi.kz/shop/p/lenovo-ideapad-3-15aba7-82rn00cqrk-seryi-108560527/?c=710000000,Ноутбук Lenovo IdeaPad 3 15ABA7 82RN00CQRK серый,319 990 ₸,20 245 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 5625U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
18,https://kaspi.kz/shop/p/asus-tuf-gaming-f17-fx706hc-hx007-90nb0tt2-m07390-chernyi-105305733/?c=710000000,Ноутбук ASUS TUF Gaming F17 FX706HC-HX007 90NB0TT2-M07390 черный,559 990 ₸,35 429 ₸,17.3 дюйм,1920x1080,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
19,https://kaspi.kz/shop/p/asus-tuf-fx706he-hx010-90nr0713-m00990-seryi-102789330/?c=710000000,Ноутбук ASUS TUF FX706HE-HX010 90NR0713-M00990 серый,579 990 ₸,36 694 ₸,17.3 дюйм,"1920x1080, широкоформатный",144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
20,https://kaspi.kz/shop/p/asus-x515ja-bq3253-90nb0sr1-m02lc0-seryi-107650904/?c=710000000,Ноутбук ASUS X515JA-BQ3253 90NB0SR1-M02LC0 серый,354 950 ₸,22 457 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,Intel Core i7 1065G7 ,Intel Iris Plus Graphics ,16 ГБ,SSD,512 ГБ
21,https://kaspi.kz/shop/p/asus-vivobook-15x-oled-x1503za-l1493-90nb0wy1-m00p90-sinii-107930226/?c=710000000,Ноутбук ASUS VivoBook 15X OLED X1503ZA-L1493 90NB0WY1-M00P90 синий,359 990 ₸,22 776 ₸,15.6 дюйм,1920x1080,60 Гц,OLED,Intel Core i3 1220P,Intel UHD Graphics,16 ГБ,SSD,512 ГБ
22,https://kaspi.kz/shop/p/asus-m6500qc-ma035-90nb0yn1-m001a0-temno-sinii-107705038/?c=710000000,Ноутбук ASUS M6500QC-MA035 90NB0YN1-M001A0 темно-синий,529 990 ₸,33 531 ₸,15.6 дюйм,2880x1620 2.8K,120 Гц,OLED,AMD Ryzen 7 5800H,NVIDIA GEFORCE RTX 3050,16 ГБ,SSD,512 ГБ
23,https://kaspi.kz/shop/p/hp-envy-x360-tooch-15-eu0046ur-60p14ea-chernyi-106944617/?c=710000000,Ноутбук HP ENVY x360 Tooch 15-eu0046ur 60P14EA черный,459 990 ₸,29 102 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 5500U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
24,https://kaspi.kz/shop/p/hp-victus-16-d1059ci-6k317ea-seryi-106230467/?c=710000000,Ноутбук HP VICTUS 16-d1059ci 6K317EA серый,599 890 ₸,37 953 ₸,16.1 дюйм,1920x1080 Full HD,144 Гц,IPS, Intel Core i5-12500H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
25,https://kaspi.kz/shop/p/acer-nitro-5-an515-57-nh-qewer-004-chernyi-108115054/?c=710000000,Ноутбук Acer Nitro 5 AN515-57 NH.QEWER.004 черный,599 990 ₸,37 960 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i5 11400H,NVIDIA RTX GeForce 3060,16 ГБ,SSD,512 ГБ
26,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16ach6h-82jq010crk-seryi-106652334/?c=710000000,Ноутбук Lenovo Legion 5 Pro 16ACH6H 82JQ010CRK серый,699 990 ₸,44 286 ₸,16 дюйм,2560x1600,165 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1000 ГБ
27,https://kaspi.kz/shop/p/apple-macbook-pro-16-mk183-seryi-102892102/?c=710000000,Ноутбук Apple MacBook Pro 16 MK183 серый,1 119 630 ₸,70 836 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,IPS,Apple M1 Pro,Apple M1 16-Core,16 ГБ,SSD,512 ГБ
28,https://kaspi.kz/shop/p/acer-aspire-7-a715-42g-nh-qe5er-001-chernyi-106803726/?c=710000000,Ноутбук Acer Aspire 7 A715-42G NH.QE5ER.001 черный,539 990 ₸,34 164 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 7 5700U,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
29,https://kaspi.kz/shop/p/hp-pavilion-15-eh2046ci-79b15ea-serebristyi-108539020/?c=710000000,Ноутбук HP Pavilion 15-eh2046ci 79B15EA серебристый,379 990 ₸,24 041 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 5625U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
30,https://kaspi.kz/shop/p/asus-tuf-gaming-f17-fx706hm-hx031-90nr0743-m02660-seryi-104989151/?c=710000000,Ноутбук ASUS TUF Gaming F17 FX706HM-HX031 90NR0743-M02660 серый,679 931 ₸,43 017 ₸,17.3 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
31,https://kaspi.kz/shop/p/hp-15-eh2038ci-6m875ea-serebristyi-105869326/?c=710000000,Ноутбук HP 15-eh2038ci 6M875EA серебристый,399 890 ₸,25 300 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,AMD Ryzen 5 5625U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
32,https://kaspi.kz/shop/p/huawei-matebook-d16-rollef-w5651-seryi-podarok-108214524/?c=710000000,Ноутбук Huawei MateBook D16 ROLLEF-W5651 серый + подарок,499 990 ₸,31 633 ₸,16 дюйм,1920x1200 Full HD+,60 Гц,IPS,Intel Core i5-12500H,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
33,https://kaspi.kz/shop/p/lenovo-82jk00lprk-legion-5-15ith6-temno-sinii-107917586/?c=710000000,Ноутбук Lenovo 82JK00LPRK Legion 5 15ITH6 темно-синий,649 990 ₸,41 123 ₸,15.6 дюйм,1920x1080,165 Гц,IPS,Intel Core i7 11800H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
34,https://kaspi.kz/shop/p/hp-15s-fq5031c-6j5y1ea-uuq-seryi-106111761/?c=710000000,Ноутбук HP 15s-fq5031c 6J5Y1EA#UUQ серый,379 990 ₸,24 041 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,Intel Core i5-1235U,Intel® Iris® Xᵉ,16 ГБ,SSD,512 ГБ
35,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-fx506hc-hn006-chernyi-101932360/?c=710000000,Ноутбук ASUS TUF Gaming F15 FX506HC-HN006 черный,539 696 ₸,34 145 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,Intel Core i5 11400H,Nvidia GeForce RTX3050,16 ГБ,SSD,512 ГБ
36,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iau7-82rk00hxrk-seryi-108560516/?c=710000000,Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00HXRK серый,349 990 ₸,22 143 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i5 1235U,Intel Iris Xe Graphics,16 ГБ,SSD,512 ГБ
37,https://kaspi.kz/shop/p/lenovo-legion-5-17ach6-82k00006rk-sinii-102716090/?c=710000000,Ноутбук Lenovo Legion 5 17ACH6 82K00006RK синий,609 990 ₸,38 592 ₸,17.3 дюйм,"1920x1080, широкоформатный",144 Гц,IPS,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
38,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16iah7h-82rf00durk-seryi-107222212/?c=710000000,Ноутбук Lenovo Legion 5 Pro 16IAH7H 82RF00DURK серый,995 990 ₸,63 013 ₸,16 дюйм,2560x1600 2.5K,165 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3070 Ti,16 ГБ,SSD,1024 ГБ
39,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k201quru-chernyi-106887936/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 82K201QURU черный,679 990 ₸,43 021 ₸,15.6 дюйм,1920x1080 Full HD,120 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
40,https://kaspi.kz/shop/p/hp-pavilion-15-eg2012ci-6g7z7ea-sinii-107524976/?c=710000000,Ноутбук HP Pavilion 15-eg2012ci 6G7Z7EA синий,495 900 ₸,31 374 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i7-1255U,Intel Iris Xe,16 ГБ,SSD,512 ГБ
41,https://kaspi.kz/shop/p/asus-rog-zephyrus-m16-gu603ze-k8033-90nr0941-m002e0-chernyi-104385889/?c=710000000,Ноутбук ASUS ROG Zephyrus M16 GU603ZE-K8033 90NR0941-M002E0 черный,899 900 ₸,56 934 ₸,16 дюйм,2560x1600 WQXGA,165 Гц,IPS,Intel Core i7-12700H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
42,https://kaspi.kz/shop/p/acer-nitro-5-an515-57-nh-qfger-002-chernyi-107933740/?c=710000000,Ноутбук ACER Nitro 5 AN515-57 NH.QFGER.002 черный,829 990 ₸,52 511 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i7 11800H,NVIDIA GeForce RTX 3070,16 ГБ,SSD,1000 ГБ
43,https://kaspi.kz/shop/p/asus-tuf-dash-f15-fx517zm-hn073-90nr09q3-m00fu0-chernyi-107574539/?c=710000000,Ноутбук ASUS TUF Dash F15 FX517ZM-HN073 90NR09Q3-M00FU0 черный,799 990 ₸,50 613 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i7 12650H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
44,https://kaspi.kz/shop/p/acer-predator-triton-pt516-52s-nh-qfqer-002-seryi-106874078/?c=710000000,Ноутбук Acer Predator Triton PT516-52S NH.QFQER.002 серый,1 299 990 ₸,82 246 ₸,16 дюйм,2560x1600 2.5K,240 Гц,LCD,Intel Core i7 12700H,NVIDIA GeForce RTX 3070 Ti,16 ГБ,SSD,1024 ГБ
45,https://kaspi.kz/shop/p/acer-swift-x-sfx-16-51g-nx-ayler-001-seryi-106874756/?c=710000000,Ноутбук Acer Swift X SFX-16-51G NX.AYLER.001 серый,679 990 ₸,43 021 ₸,16.1 дюйм,1920x1080 Full HD,60 Гц,LCD,Intel Core i7 11390H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,1024 ГБ
46,https://kaspi.kz/shop/p/acer-aspire-7-a715-42g-nh-qe5er-006-chernyi-106873604/?c=710000000,Ноутбук Acer Aspire 7 A715-42G NH.QE5ER.006 черный,599 990 ₸,37 960 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7 5700U,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
47,https://kaspi.kz/shop/p/lenovo-ideapad-3-15alc6-82rn00aqrk-seryi-107086797/?c=710000000,Ноутбук Lenovo IdeaPad 3 15ALC6 82RN00AQRK серый,399 990 ₸,25 306 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 5625U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
48,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16ach6h-82rg0099rk-seryi-106615258/?c=710000000,Ноутбук Lenovo Legion 5 Pro 16ACH6H 82RG0099RK серый,1 059 990 ₸,67 062 ₸,16 дюйм,2560x1600,165 Гц,IPS,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3070,16 ГБ,SSD,1000 ГБ
49,https://kaspi.kz/shop/p/hp-victus-16-e1050ci-6k3c9ea-chernyi-106763267/?c=710000000,Ноутбук HP Victus 16-e1050ci 6K3C9EA черный,567 890 ₸,35 929 ₸,16.1 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 5 6600H,GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
50,https://kaspi.kz/shop/p/lenovo-legion-5-15ach6h-82ju018vrk-chernyi-106615277/?c=710000000,Ноутбук Lenovo Legion 5 15ACH6H 82JU018VRK черный,695 990 ₸,44 033 ₸,15.6 дюйм,1920x1080,120 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1000 ГБ
51,https://kaspi.kz/shop/p/huawei-matebook-d15-bohrm-wfq9a-serebristyi-106550751/?c=710000000,Ноутбук Huawei MateBook D15 BohrM-WFQ9A серебристый,395 695 ₸,25 035 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 3 5500U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
52,https://kaspi.kz/shop/p/asus-tuf-dashf15-fx517zm-hn093-90nr09q3-m007b0-chernyi-106299715/?c=710000000,Ноутбук ASUS TUF DashF15 FX517ZM-HN093 90NR09Q3-M007B0 черный,711 610 ₸,45 022 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,Intel Core i7 12650H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
53,https://kaspi.kz/shop/p/asus-vivobook-x1603za-mb021w-90nb0wb1-m009e0-sinii-108333826/?c=710000000,Ноутбук ASUS Vivobook X1603ZA-MB021W 90NB0WB1-M009E0 синий,469 990 ₸,29 735 ₸,16 дюйм,1920x1080 Full HD,60 Гц,IPS,Intel Core i5 12500H,Intel UHD Graphics,16 ГБ,SSD,512 ГБ
54,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k2002drk-chernyi-105087521/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 82K2002DRK черный,599 988 ₸,37 960 ₸,15.6 дюйм,1920x1080,120 Гц,IPS,AMD Ryzen 5 5600H,GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
55,https://kaspi.kz/shop/p/asus-tuf-f15-fx506hm-hn016-90nr0754-m003e0-chernyi-103394916/?c=710000000,Ноутбук ASUS TUF F15 FX506HM-HN016 90NR0754-M003E0 черный,639 990 ₸,40 490 ₸,15.6 дюйм,"1920x1080, широкоформатный",60 Гц,IPS,Intel Core i5-11400H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,512 ГБ
56,https://kaspi.kz/shop/p/lenovo-thinkbook-15p-g2-ith-21b10023ru-seryi-107932211/?c=710000000,Ноутбук Lenovo ThinkBook 15p G2 ITH 21B10023RU серый,564 990 ₸,35 745 ₸,15.6 дюйм,1920 x 1080 Full HD,60 Гц,IPS,Intel Core i7 11800H,NVIDIA GeForce GTX 1650,16 ГБ,SSD,512 ГБ
57,https://kaspi.kz/shop/p/hp-pavilion-15-eh2064ci-79b16ea-uuq-serebristyi-108530893/?c=710000000,Ноутбук HP Pavilion 15-eh2064ci 79B16EA#UUQ серебристый,379 990 ₸,24 041 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,AMD Ryzen 7 5825U,AMD Radeon Graphics,16 ГБ,SSD,512 ГБ
58,https://kaspi.kz/shop/p/hp-victus-15-fa0035ci-6x7n2ea-belyi-108487820/?c=710000000,Ноутбук HP Victus 15-fa0035ci 6X7N2EA белый,529 990 ₸,33 531 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,Intel Core i5-12500H,NVIDIA GeForce RTX 3050,16 ГБ,SSD,512 ГБ
59,https://kaspi.kz/shop/p/lenovo-legion-5-pro-16ith6-82jf0082rk-belyi-107917480/?c=710000000,Ноутбук Lenovo Legion 5 Pro 16ITH6 82JF0082RK белый,629 990 ₸,39 858 ₸,16 дюйм,2560x1600,165 Гц,IPS,Intel Core i5 11400H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,512 ГБ
60,https://kaspi.kz/shop/p/hp-victus-15-fb0030ci-6m877ea-seryi-105985098/?c=710000000,Ноутбук HP Victus 15-fb0030ci 6M877EA серый,550 000 ₸,34 797 ₸,15.6 дюйм,1920x1080,144 Гц,IPS,AMD Ryzen 5 5600H,AMD Radeon RX6500M,16 ГБ,SSD,512 ГБ
61,https://kaspi.kz/shop/p/asus-rog-zephyrus-m16-gu603zm-k8005w-90nr0822-m001h0-chernyi-106255104/?c=710000000,Ноутбук ASUS ROG Zephyrus M16 GU603ZM-K8005W 90NR0822-M001H0 черный,1 199 900 ₸,75 914 ₸,16 дюйм, 2560x1600,165 Гц,IPS,Intel Core i7-12700H,nVidia GeForce RTX 3060,16 ГБ,SSD,512 ГБ
62,https://kaspi.kz/shop/p/msi-katana-gf66-12ue-12ue-1227xkz-temno-seryi-108002378/?c=710000000,Ноутбук MSI Katana GF66 12UE 12UE-1227XKZ темно-серый,877 338 ₸,55 507 ₸,15.6 дюйм,1920x1080 Full HD,240 Гц,IPS,Intel Core i7-12650H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
